Publisher,Board Game,Number of Players,Rating
AEG,Tiny Towns,6949,7.43
AEG,Love Letter,6944,7.24
AEG,Space Base,5370,7.52
AEG,Point Salad,3468,7.35
AEG,Mystic Vale,2368,7.30
Blue Orange,Kingdomino,10175,7.36
Blue Orange,Photosynthesis,4049,7.19
Blue Orange,Planet,2575,6.80
Blue Orange,Blue Lagoon,1951,7.24
Blue Orange,Kingdomino Duel,840,7.10
CMON,Gizmos,5376,7.50
CMON,Blood Rage,4690,8.01
CMON,Rising Son,3324,7.93
CMON,The Godfather,1500,7.59
CMON,Zombicide Black Plague,1498,7.71
Kosmos,Catan,6108,7.17
Kosmos,Lost Cities,4254,7.17
Kosmos,Imhotep,3005,7.22
Kosmos,Targi,2876,7.62
Kosmos,5-Minute Dungeon,1566,7.13
Lookout Games,Patchwork,8657,7.68
Lookout Games,Barenpar,4680,7.36
Lookout Games,Isel of Skye,4504,7.45
Lookout Games,Agricola,3906,7.97
Lookout Games,Caverna,3390,8.04
Stonemaier Games,Wingspan,19623,8.11
Stonemaier Games,Scythe,11652,8.26
Stonemaier Games,Viticulutre,6896,8.11
Stonemaier Games,Tapestry,6874,7.52
Stonemaier Games,Charterstone,2812,7.51
